FIRST_NAME,LAST_NAME,USER_ID,EMAIL,PASSWORD,MAJOR,TYPE
Izetta,Brandonlee,ibrandonlee0,ibrandonlee0@tech.edu,Password123,Engineering,Student
Kaci,Kana,kkana0,kkana0@tech.edu,Password123,Math,Student
Jenica,Tal,jtal0,jtal0@tech.edu,Password123,Math,Student
Jaems,Brittany,jbrittany0,jbrittany0@tech.edu,Password123,English,Student
Shreena,Sheniece,ssheniece0,ssheniece0@tech.edu,Password123,Computer Science,Student
Abelino,Enriqueta,aenriqueta0,aenriqueta0@tech.edu,Password123,Nursing,Student
Doanld,Liat,dliat0,dliat0@tech.edu,Password123,Math,Student
Mallery,Marico,mmarico0,mmarico0@tech.edu,Password123,Computer Science,Student
Brentley,Mace,bmace0,bmace0@tech.edu,Password123,English,Student
Lacorey,Rami,lrami0,lrami0@tech.edu,Password123,Nursing,Student
Bethanne,Anisha,banisha0,banisha0@tech.edu,Password123,Engineering,Student
Rosalia,Berenice,rberenice0,rberenice0@tech.edu,Password123,Nursing,Student
Rhiannon,Eryca,reryca0,reryca0@tech.edu,Password123,English,Student
Constantina,Thor,cthor0,cthor0@tech.edu,Password123,Nursing,Student
Vannesa,Rahiem,vrahiem0,vrahiem0@tech.edu,Password123,English,Student
Sloan,Zacchaeus,szacchaeus0,szacchaeus0@tech.edu,Password123,Math,Student
Elenita,Sherah,esherah0,esherah0@tech.edu,Password123,Computer Science,Student
Abbigale,Ameera,aameera0,aameera0@tech.edu,Password123,Computer Science,Student
Jaris,Jerman,jjerman0,jjerman0@tech.edu,Password123,English,Student
Dannelle,Zeina,dzeina0,dzeina0@tech.edu,Password123,Nursing,Student
Theodora,Detron,tdetron0,tdetron0@tech.edu,Password123,Engineering,Student
Andrena,Shameria,ashameria0,ashameria0@tech.edu,Password123,Nursing,Student
Naeemah,Rohini,nrohini0,nrohini0@tech.edu,Password123,Computer Science,Student
Marsha,Demetri,mdemetri0,mdemetri0@tech.edu,Password123,Nursing,Student
Shivani,Loralei,sloralei0,sloralei0@tech.edu,Password123,English,Student
Brycen,Lashay,blashay0,blashay0@tech.edu,Password123,Math,Student
Ayisha,Asucena,aasucena0,aasucena0@tech.edu,Password123,Nursing,Student
Keylee,Seiji,kseiji0,kseiji0@tech.edu,Password123,Computer Science,Student
Teddie,Jaja,tjaja0,tjaja0@tech.edu,Password123,Engineering,Student
Mohammad,Sanovia,msanovia0,msanovia0@tech.edu,Password123,English,Student
Ngozi,Chassidy,nchassidy0,nchassidy0@tech.edu,Password123,Math,Student
Lehua,Geana,lgeana0,lgeana0@tech.edu,Password123,Engineering,Student
Rane,Damion,rdamion0,rdamion0@tech.edu,Password123,Nursing,Student
Marvin,Wendel,mwendel0,mwendel0@tech.edu,Password123,Math,Student
Declan,Shadie,dshadie0,dshadie0@tech.edu,Password123,Math,Student
Jeromi,Rakia,jrakia0,jrakia0@tech.edu,Password123,Engineering,Student
Bailie,Nhan,bnhan0,bnhan0@tech.edu,Password123,Computer Science,Student
Demitrius,Kristilyn,dkristilyn0,dkristilyn0@tech.edu,Password123,Engineering,Student
Suzan,Chalea,schalea0,schalea0@tech.edu,Password123,Nursing,Student
Carroll,Leinani,cleinani0,cleinani0@tech.edu,Password123,Engineering,Student
Ric,Lehi,rlehi0,rlehi0@tech.edu,Password123,Math,Student
Caterina,Afaf,cafaf0,cafaf0@tech.edu,Password123,Math,Student
Simran,Danyele,sdanyele0,sdanyele0@tech.edu,Password123,Nursing,Student
Natasha,Male,nmale0,nmale0@tech.edu,Password123,Math,Student
Shamela,Rustin,srustin0,srustin0@tech.edu,Password123,English,Student
Hassan,Cleavon,hcleavon0,hcleavon0@tech.edu,Password123,Engineering,Student
Darus,Nickalas,dnickalas0,dnickalas0@tech.edu,Password123,Math,Student
Shawntell,Shepard,sshepard0,sshepard0@tech.edu,Password123,Computer Science,Student
Colyn,Jermane,cjermane0,cjermane0@tech.edu,Password123,Nursing,Student
Edward,Kain,ekain0,ekain0@tech.edu,Password123,Math,Student
Rashana,Jamere,rjamere0,rjamere0@tech.edu,Password123,English,Professor
Tekeisha,Valisha,tvalisha0,tvalisha0@tech.edu,Password123,Computer Science,Student
Latitia,Norissa,lnorissa0,lnorissa0@tech.edu,Password123,Engineering,Student
Rosy,Tavoris,rtavoris0,rtavoris0@tech.edu,Password123,Math,Student
Trica,Ceira,tceira0,tceira0@tech.edu,Password123,English,Student
Kayle,Junette,kjunette0,kjunette0@tech.edu,Password123,English,Student
Lacora,Jarell,ljarell0,ljarell0@tech.edu,Password123,Computer Science,Student
Demetrio,Minta,dminta0,dminta0@tech.edu,Password123,Computer Science,Student
Melonee,Bertha,mbertha0,mbertha0@tech.edu,Password123,Computer Science,Student
Mayme,Delawrence,mdelawrence0,mdelawrence0@tech.edu,Password123,Math,Student
Ravon,Sindia,rsindia0,rsindia0@tech.edu,Password123,Computer Science,Student
Renna,Illana,rillana0,rillana0@tech.edu,Password123,Math,Student
Karilee,Sharletta,ksharletta0,ksharletta0@tech.edu,Password123,English,Professor
Dominque,Bernardo,dbernardo0,dbernardo0@tech.edu,Password123,Math,Student
Brittan,Megham,bmegham0,bmegham0@tech.edu,Password123,Math,Student
Shaniqua,Dameka,sdameka0,sdameka0@tech.edu,Password123,Nursing,Student
Kalla,Quincey,kquincey0,kquincey0@tech.edu,Password123,Computer Science,Student
Genise,Rickell,grickell0,grickell0@tech.edu,Password123,English,Student
Emerald,Philip,ephilip0,ephilip0@tech.edu,Password123,English,Student
Prince,Iliana,piliana0,piliana0@tech.edu,Password123,Engineering,Student
Jesi,Correy,jcorrey0,jcorrey0@tech.edu,Password123,Nursing,Student
Yamira,Kalina,ykalina0,ykalina0@tech.edu,Password123,English,Student
Jarmarcus,Jaimy,jjaimy0,jjaimy0@tech.edu,Password123,Engineering,Student
Rosaelena,Jarom,rjarom0,rjarom0@tech.edu,Password123,English,Student
Tanna,Kahla,tkahla0,tkahla0@tech.edu,Password123,Nursing,Student
Criag,Shenae,cshenae0,cshenae0@tech.edu,Password123,Engineering,Student
Yanelis,Jonn,yjonn0,yjonn0@tech.edu,Password123,Engineering,Student
Binyamin,Hadassah,bhadassah0,bhadassah0@tech.edu,Password123,Engineering,Student
Dewey,Faiga,dfaiga0,dfaiga0@tech.edu,Password123,Engineering,Student
Kelci,Eliana,keliana0,keliana0@tech.edu,Password123,Math,Student
Jamelyn,Arnie,jarnie0,jarnie0@tech.edu,Password123,Computer Science,Student
Serigo,Chikita,schikita0,schikita0@tech.edu,Password123,English,Student
Yetta,Lititia,ylititia0,ylititia0@tech.edu,Password123,English,Student
Zaneta,Shanequa,zshanequa0,zshanequa0@tech.edu,Password123,Math,Student
Kaelah,Shawnequa,kshawnequa0,kshawnequa0@tech.edu,Password123,Nursing,Student
Jeffrie,Ijeoma,jijeoma0,jijeoma0@tech.edu,Password123,Computer Science,Student
Natosha,Jesicca,njesicca0,njesicca0@tech.edu,Password123,Computer Science,Student
Karenann,Fonda,kfonda0,kfonda0@tech.edu,Password123,Nursing,Student
Tonya,Mikela,tmikela0,tmikela0@tech.edu,Password123,Math,Student
Lorra,Cephas,lcephas0,lcephas0@tech.edu,Password123,English,Student
Chayse,Cortney,ccortney0,ccortney0@tech.edu,Password123,English,Professor
Makida,Cynethia,mcynethia0,mcynethia0@tech.edu,Password123,Engineering,Student
Keyatta,Devoris,kdevoris0,kdevoris0@tech.edu,Password123,Nursing,Student
Kain,Johna,kjohna0,kjohna0@tech.edu,Password123,Computer Science,Student
Kartina,Marjorie,kmarjorie0,kmarjorie0@tech.edu,Password123,Nursing,Student
Stacey,Darcus,sdarcus0,sdarcus0@tech.edu,Password123,Math,Student
Josten,Makila,jmakila0,jmakila0@tech.edu,Password123,Engineering,Student
Keaira,Dawnelle,kdawnelle0,kdawnelle0@tech.edu,Password123,Engineering,Student
Lubna,Davian,ldavian0,ldavian0@tech.edu,Password123,Computer Science,Student
Sami,Jenae,sjenae0,sjenae0@tech.edu,Password123,Nursing,Student
Rashida,Jocelynn,rjocelynn0,rjocelynn0@tech.edu,Password123,Computer Science,Student
Neelam,Keeton,nkeeton0,nkeeton0@tech.edu,Password123,English,Student
Sherria,Biagio,sbiagio0,sbiagio0@tech.edu,Password123,Nursing,Student
Raymondo,Keyona,rkeyona0,rkeyona0@tech.edu,Password123,Computer Science,Student
Shahla,Gloria,sgloria0,sgloria0@tech.edu,Password123,English,Student
Babak,Twanisha,btwanisha0,btwanisha0@tech.edu,Password123,Math,Student
Hosea,Clementina,hclementina0,hclementina0@tech.edu,Password123,Math,Student
Deadra,Jeanclaude,djeanclaude0,djeanclaude0@tech.edu,Password123,English,Student
Sigrid,Carnella,scarnella0,scarnella0@tech.edu,Password123,Engineering,Student
Mattea,Jawuan,mjawuan0,mjawuan0@tech.edu,Password123,Nursing,Student
Korine,Safia,ksafia0,ksafia0@tech.edu,Password123,Nursing,Student
Mikhaila,Jarrod,mjarrod0,mjarrod0@tech.edu,Password123,Nursing,Student
Halley,Darry,hdarry0,hdarry0@tech.edu,Password123,Computer Science,Student
Nino,Sherkia,nsherkia0,nsherkia0@tech.edu,Password123,Nursing,Professor
Tashenna,Florine,tflorine0,tflorine0@tech.edu,Password123,Nursing,Student
Atif,Penni,apenni0,apenni0@tech.edu,Password123,Engineering,Student
Tiarra,Rebekkah,trebekkah0,trebekkah0@tech.edu,Password123,English,Student
Brayan,Cecila,bcecila0,bcecila0@tech.edu,Password123,Computer Science,Student
Danne,Ani,dani0,dani0@tech.edu,Password123,Nursing,Student
Quinetta,Norbert,qnorbert0,qnorbert0@tech.edu,Password123,Computer Science,Student
Ginny,Letha,gletha0,gletha0@tech.edu,Password123,Computer Science,Student
